OrderID,OrderQuantity,OrderValue,Country,Industry,Deal Status
OD11290,7,46870,Canada,Technology,Won
OD11290,3128,39706,Canada,Finance,Won
OD11290,4841,12380,Australia,Manufacturing,Won
OD11290,1281,148,Australia,Manufacturing,Won
OD11290,993,17449,Australia,Manufacturing,Lost
OD11290,2002,3567,Australia,Energy,Won
OD11290,3065,31744,Australia,Government,Lost
OD11290,354,41076,Australia,Government,Won
OD11290,1007,37956,Australia,Energy,Won
OD11290,3457,30062,Australia,Technology,Won
OD11290,4580,46434,Canada,Finance,Won
OD11290,1251,40424,Australia,Manufacturing,Won
OD11290,3660,12664,Australia,Manufacturing,Won
OD11290,3261,39935,Australia,Manufacturing,Lost
OD11290,1703,43468,Australia,Energy,Lost
OD11290,4011,27102,Australia,Government,Lost
OD11290,2242,48195,Australia,Government,Lost
OD11290,348,17731,Australia,Energy,Lost
OD11290,1159,1425,Australia,Technology,Pending
OD11290,2336,45633,Australia,Finance,Pending
OD11290,2753,3377,Australia,Manufacturing,Pending
OD11290,3486,46944,Australia,Manufacturing,Pending
OD11290,1539,25698,Australia,Manufacturing,Pending
OD11290,4792,22946,Australia,Energy,Won
OD11290,1195,29805,Australia,Government,Won
OD38893,5,42978,Canada,Government,Lost
OD34799,1971,40133,China,Energy,Won
OD34799,2302,46504,China,Technology,Won
OD34799,2659,25803,China,Finance,Won
OD34799,4089,7517,China,Manufacturing,Won
OD34799,731,28915,China,Manufacturing,Won
OD34799,4984,30755,China,Manufacturing,Won
OD34799,3912,10677,China,Energy,Won
OD34799,2776,39656,China,Government,Won
OD34799,575,44991,China,Government,Won
OD34799,2214,22241,China,Energy,Lost
OD34799,172,21243,China,Technology,Lost
OD34799,4976,26426,China,Finance,Lost
OD34799,3202,32959,China,Manufacturing,Lost
OD34799,2059,1426,China,Manufacturing,Lost
OD34799,4343,1796,China,Manufacturing,Lost
OD34799,1490,20405,China,Energy,Lost
OD34799,4646,36323,China,Government,Lost
OD34799,2222,39859,China,Government,Lost
OD34799,4469,7362,China,Energy,Lost
OD34799,1989,13776,China,Technology,Won
OD34799,153,9714,China,Finance,Won
OD34799,1171,32234,China,Manufacturing,Won
OD34799,504,4539,China,Manufacturing,Won
OD34799,2931,35943,China,Manufacturing,Won
OD34799,3995,7022,China,Energy,Won
OD18295,8,39515,France,Government,Pending
OD18295,4443,31078,France,Government,Pending
OD18295,4392,19291,France,Energy,Pending
OD18295,3800,9886,France,Technology,Won
OD18295,1794,33291,France,Finance,Pending
OD18295,2912,26484,France,Manufacturing,Won
OD18295,570,4945,France,Healthcare,Won
OD18295,4805,8542,France,Manufacturing,Lost
OD18295,2437,46016,France,Energy,Lost
OD18295,1540,41066,France,Government,Lost
OD18295,1598,40698,France,Government,Lost
OD18295,792,30077,France,Energy,Pending
OD18295,2489,49145,France,Technology,Pending
OD38231,15,19701,Germany,Finance,Won
OD38231,507,13987,Germany,Manufacturing,Won
OD38231,2461,29358,Germany,Manufacturing,Pending
OD38231,1625,29612,Germany,Manufacturing,Won
OD38231,3466,44837,Germany,Energy,Won
OD38231,1166,10549,Germany,Government,Won
OD38231,4413,14873,Germany,Retail,Won
OD38231,266,24247,Germany,Energy,Won
OD38231,4989,30366,Germany,Retail,Lost
OD38231,2013,16386,Germany,Finance,Lost
OD38231,4916,33248,Germany,Manufacturing,Lost
OD38231,528,9582,Germany,Retail,Lost
OD38231,2036,20887,Germany,Manufacturing,Lost
OD38231,1779,26989,Germany,Energy,Lost
OD38231,1794,39352,Germany,Government,Lost
OD38231,4780,32436,Germany,Government,Lost
OD38231,2535,30350,Germany,Energy,Lost
OD38231,298,8804,Germany,Technology,Lost
OD38231,4270,3893,Germany,Finance,Won
OD38231,590,46466,Germany,Retail,Won
OD38231,1214,23698,Germany,Manufacturing,Won
OD38231,4982,20256,Germany,Retail,Won
OD38231,2461,17314,Germany,Energy,Won
OD38231,3296,41728,Germany,Government,Won
OD38231,1511,468,Germany,Government,Won
OD38231,1837,20573,Germany,Energy,Won
OD38231,1375,37569,Germany,Technology,Won
OD38231,4358,47954,Germany,Finance,Won
OD38231,1924,7036,Germany,Manufacturing,Won
OD38231,516,35792,Germany,Manufacturing,Won
OD38231,4228,42782,Germany,Manufacturing,Won
OD38231,4707,31425,Germany,Energy,Won
OD38231,4690,31136,Germany,Government,Won
OD38231,2095,37079,Germany,Government,Won
OD38231,681,29217,Germany,Energy,Won
OD38231,2356,21581,Germany,Technology,Won
OD38231,917,15838,Germany,Finance,Won
OD28196,12,44489,Italy,Manufacturing,Pending
OD28196,4646,12086,Italy,Manufacturing,Pending
OD28196,4234,5468,Italy,Manufacturing,Pending
OD28196,4497,46046,Italy,Energy,Won
OD28196,2287,44429,Italy,Government,Won
OD28196,4236,42491,Italy,Government,Won
OD28196,1422,12886,Italy,Energy,Won
OD28196,1369,1498,Italy,Technology,Won
OD28196,2555,13607,Italy,Finance,Won
OD28196,3421,17061,Italy,Manufacturing,Won
OD28196,3066,31801,Italy,Manufacturing,Pending
OD28196,585,48404,Italy,Manufacturing,Pending
OD28196,2874,8813,Italy,Energy,Lost
OD28196,503,13210,Italy,Government,Lost
OD28196,816,4608,Italy,Government,Lost
OD28196,228,39363,Italy,Energy,Lost
OD28196,2709,41208,Italy,Technology,Lost
OD28196,1238,2433,Italy,Finance,Lost
OD28196,1266,31279,Italy,Manufacturing,Lost
OD28196,834,16274,Italy,Manufacturing,Lost
OD28196,4169,446,Italy,Manufacturing,Lost
OD28196,1252,45087,Italy,Energy,Pending
OD28196,1707,45542,Italy,Government,Pending
OD28196,205,13677,Italy,Government,Pending
OD28196,610,43768,Italy,Energy,Pending
OD16197,1592,36598,Japan,Technology,Lost
OD16197,836,45207,Japan,Finance,Lost
OD16197,4952,8806,Japan,Manufacturing,Lost
OD16197,3329,25090,Japan,Manufacturing,Won
OD16197,1340,3687,Japan,Manufacturing,Won
OD16197,870,29682,Japan,Energy,Won
OD16197,2608,38441,Japan,Government,Won
OD16197,3078,26467,Japan,Government,Won
OD16197,4157,2659,Japan,Energy,Pending
OD16197,4291,30880,Japan,Technology,Pending
OD16197,2243,38415,Japan,Finance,Pending
OD16197,2869,46979,Japan,Manufacturing,Pending
OD16197,4116,47573,Japan,Manufacturing,Pending
OD16197,925,6240,Japan,Manufacturing,Pending
OD16197,271,10252,Japan,Energy,Pending
OD16197,3217,39481,Japan,Government,Won
OD16197,540,46389,Japan,Government,Won
OD16197,405,45177,Japan,Energy,Won
OD16197,685,3640,Japan,Technology,Won
OD16197,4803,40036,Japan,Finance,Won
OD16197,4712,28455,Japan,Manufacturing,Won
OD16197,3131,35660,Japan,Manufacturing,Lost
OD16197,3013,45926,Japan,Manufacturing,Lost
OD16197,4095,20810,Japan,Energy,Lost
OD16197,2452,15930,Japan,Government,Lost
OD16197,2494,31224,Japan,Government,Lost
OD37467,3,727,Spain,Energy,Pending
OD37467,2514,22861,Spain,Technology,Pending
OD37467,3638,14737,Spain,Finance,Pending
OD37467,3227,48243,Spain,Manufacturing,Pending
OD37467,328,46636,Spain,Manufacturing,Lost
OD37467,3157,440,Spain,Manufacturing,Won
OD37467,2640,49540,Spain,Energy,Won
OD37467,1255,15118,Spain,Government,Won
OD37467,3934,31395,Spain,Government,Won
OD37467,4522,34933,Spain,Energy,Won
OD37467,797,27664,Spain,Technology,Won
OD37467,2063,16286,Spain,Finance,Won
OD37467,2503,41329,Spain,Manufacturing,Won
OD37467,1819,32004,Spain,Manufacturing,Won
OD37467,2928,19186,Spain,Manufacturing,Won
OD37467,4505,12349,Spain,Energy,Won
OD37467,3636,3052,Spain,Government,Lost
OD37467,2435,7002,Spain,Government,Lost
OD37467,4216,40681,Spain,Energy,Lost
OD37467,4977,10370,Spain,Technology,Lost
OD37467,1682,24327,Spain,Finance,Lost
OD37467,1001,31272,Spain,Manufacturing,Lost
OD37467,4325,10189,Spain,Manufacturing,Lost
OD28595,20,21770,UK,Manufacturing,Won
OD28595,2054,13274,UK,Energy,Won
OD28595,3378,131,UK,Government,Pending
OD28595,1346,3719,UK,Government,Pending
OD28595,4061,42278,UK,Energy,Pending
OD28595,3613,2721,UK,Technology,Won
OD28595,2804,16088,UK,Finance,Lost
OD28595,2533,28035,UK,Manufacturing,Lost
OD28595,3016,4564,UK,Manufacturing,Lost
OD28595,1198,24684,UK,Manufacturing,Won
OD28595,3088,2037,UK,Energy,Won
OD28595,1674,40625,UK,Government,Won
OD28595,2464,22366,UK,Government,Won
OD28595,3984,32422,UK,Energy,Won
OD23259,10,12906,USA,Technology,Won
OD34799,2431,22747,USA,Finance,Won
OD38231,1160,11728,USA,Manufacturing,Won
OD38231,3336,2883,USA,Manufacturing,Won
OD37467,2096,17902,USA,Manufacturing,Lost
OD37467,3439,40666,USA,Energy,Lost
OD11290,2947,39041,USA,Government,Won
OD37467,3694,27353,USA,Government,Lost
OD18295,3977,4732,USA,Energy,Pending
OD28196,1500,28810,USA,Technology,Pending
